Adryn White
Akemi Yamaguchi
Al Ernest Garcia
Alfred Hitchcock
Amanda Plummer
Basil McCurry
Bill Gratton
Billy Dee Williams
Brad Pitt
Bret McKenzie
Bruce Boa
Cheryl Grunwald
Cristen Kauffman
Cristiana Porchiella
Dan Butler
Deirdre O'Connell
Derek Jacobi
Ed Vantura
Eddie Powell
Elena Altieri
Eli Wallach
Eric Meyers
Ethan Suplee
Father Elias
Frank Adu
Frank Pesce
George Macready
Gloria Graham
Havis Davenport
Henry Bergman
Ian Bannen
Inga Birkenfeld
Jane Russell
Jim Centofanti
Joachim Bernhard
John Di Benedetto
John Heffernan
John Rhys-Davies
Jonathan Daw
Julie Dreyfus
Keenan Wynn
Ken Gibbel
Kraig Thornber
Larry Leverett
Lawrence Tierney
Leonard Termo
Loclann Aiken
Louis Lombardi
Lucie Skeaping
Malcolm Weaver
Mara Krup
Marian Glinka
Marianne Muellerleile
Marissa Jaret Winokur
Martin Sheen
Masahiko Nishimura
Matthew Broderick
Michael Harvey
Michael Lightsey
Mike Gendel
Mira McKinney
Natalie Hallam
Nicholas Kepros
Nikolas Michailidis
Noel Evangelisti
Omar Sharif
Pat McCaffrie
Paul Blake
Paul Stewart
Paul Weigel
Ray Walker
Sally Field
Sam Comery
Sarah Freeman
Scatman Crothers
Seiji Miyaguchi
Sigourney Weaver
Stuart Holmes
Sydney Lassick
Tip Tipping
Tom Powers
Toshiro Mifune
Wade Williams
Yo Oizumi
